poster,session,number,title,Authors,absract,forum
Poster 6,Spotlight 6,42,Zero-BEV: Zero-shot Projection of any First-Person Modality to BEV Maps,"Gianluca Monaci, Leonid Antsfeld, Boris Chidlovskii, Christian Wolf","Bird's-eye view (BEV) maps are an important geometrically structured representation widely used in robotics, in particular self-driving vehicles and terrestrial robots. Existing algorithms either require depth information for the geometric projection, which is not always reliably available, or are trained end-to-end in a fully supervised way to map visual first-person observations to BEV representation, and are therefore restricted to the output modality they have been trained for. In contrast, we propose a new model capable of performing zero-shot projections of any modality available in a first person view to the corresponding BEV map. This is achieved by disentangling the geometric inverse perspective projection from the modality transformation, eg. RGB to occupancy. The method is general and we showcase experiments projecting to BEV three different modalities: semantic segmentation, motion vectors and object bounding boxes detected in first person. We experimentally show that the model outperforms competing methods, in particular the widely used baseline resorting to monocular depth estimation.",https://openreview.net/forum?id=9S8vVfxNRn
Poster 6,Spotlight 6,217,Select-Sliced Wasserstein Distance for Point Cloud Learning,"Bang Du, Kunyao Chen, Haochen Zhang, Truong Nguyen","Quantifying the discrepancy between point sets is a critical component for point cloud learning tasks. The mainstream point cloud learning tasks utilize Chamfer distance and Earth-Mover's distance. Chamfer distance is computationally efficient but may not fully capture differences between sets of points. Earth-Mover's distance, while precise, is computationally expensive and can be impractical to use with high-definition data. Several variants of Sliced Wasserstein distances (SW) are introduced to reduce the computation cost, but bring new problems to the situation: The vanilla SW treats sampled slices equally, resulting in redundant projections Distributional Sliced Wasserstein distance requires gradient-based optimization, offsetting its benefits. To overcome this limitation and leverage the advantages of Sliced Wasserstein distance over EMD, we propose a novel metric, Select-Sliced Wasserstein distance. This new distance analyzes drawn samples of slices and quantifies their informativeness for each point in a single shot, which eliminates unnecessary projections as well as costly optimizations, but perpetuates the performance. Extensive experiments on various point cloud learning tasks to demonstrate the efficiency and effectiveness of the proposed distance metric.",https://openreview.net/forum?id=1bYJBatudn
Poster 6,Spotlight 6,368,Out of the Room: Generalizing Event-based Dynamic Motion Segmentation for Complex Scenes,"Stamatios Georgoulis, weining ren, Alfredo Bochicchio, Daniel Eckert, YUANYOU LI, Abel Roman Gawel","Rapid and reliable identification of dynamic scene parts, also known as motion segmentation, is a key challenge for mobile sensors. Contemporary RGB camera-based methods rely on modelling camera and scene properties however, are often under-constrained and fall short in unknown categories. Event cameras have the potential to overcome these limitations, but corresponding methods have only been demonstrated in smaller-scale indoor environments with simplified dynamic objects. This work presents an event-based method for class-agnostic motion segmentation that can successfully be deployed across complex large-scale outdoor environments too. To this end, we introduce a novel divide-and-conquer pipeline that combines: (a) ego-motion compensated events, computed via a scene understanding module that predicts monocular depth and camera pose as auxiliary tasks, and (b) optical flow from a dedicated optical flow module. These intermediate representations are then fed into a segmentation module that predicts motion segmentation masks. A novel transformer-based temporal attention mechanism in the segmentation module builds correlations across adjacent 'frames' to get temporally consistent segmentation masks. Our method sets the new state-of-the-art on the classic EV-IMO benchmark (indoors), where we achieve improvements of 2.19 moving object IoU (2.22 mIoU) and 4.52 point IoU respectively, as well as on a newly-generated motion segmentation and tracking benchmark (outdoors) based on the DSEC event dataset, termed DSEC-MOTS, where we show improvement of 12.91 moving object IoU.",https://openreview.net/forum?id=bysritUPSG
Poster 6,Spotlight 6,376,Self-supervised Learning of Neural Implicit Feature Fields for Camera Pose Refinement,"Maxime Pietrantoni, Gabriela Csurka, Martin Humenberger, Torsten Sattler","Visual localization techniques rely upon some underlying scene representation to localize against. These representations can be explicit such as 3D SFM map or implicit, such as a neural network that learns to encode the scene. The former require sparse feature extractors and matchers to build the scene representation. The latter might lack geometric grounding not capturing the 3D structure of the scene well enough. This paper proposes to jointly learn the scene representation along with a 3D dense feature field and a 2D feature extractor whose outputs are embedded in the same metric space. Through a contrastive framework we align this volumetric field with the image-based extractor and regularize the latter with a ranking loss from learned surface information. We learn the underlying geometry of the scene with an implicit field through volumetric rendering and design our feature field to leverage intermediate geometric information encoded in the implicit field. The resulting features are discriminative and robust to viewpoint change while maintaining rich encoded information. Visual localization is then achieved by aligning the image based features and the rendered volumetric features. We show the effectiveness of our approach on real-world scenes, demonstrating that our approach outperforms prior and concurrent work on leveraging implicit scene representations for  localization.",https://openreview.net/forum?id=1yrGI0gcQx
Poster 6,Spotlight 6,121,Partial-View Object View Synthesis via Filtering Inversion,"Fan-Yun Sun, Jonathan Tremblay, Valts Blukis, Kevin Lin, Danfei Xu, Boris Ivanovic, Peter Karkus, Stan Birchfield, Dieter Fox, Ruohan Zhang, Yunzhu Li, Jiajun Wu, Marco Pavone, Nick Haber","We propose Filtering Inversion (FINV), a learning framework and optimization process that predicts a renderable 3D object representation from one or few partial views. FINV addresses the challenge of synthesizing novel views of objects from partial observations, spanning cases where the object is not entirely in view, is partially occluded, or is only observed from similar views. To achieve this, FINV learns shape priors by training a 3D generative model. At inference, given one or more views of a novel real-world object, FINV first finds a set of latent codes for the object by inverting the generative model from multiple initial seeds. Maintaining the set of latent codes, FINV filters and resamples them after receiving each new observation, akin to particle filtering. The generator is then finetuned for each latent code on the available views in order to adapt to novel objects. We show that FINV successfully synthesizes novel views of real-world objects (e.g., chairs, tables, and cars), even if the generative prior is trained only on synthetic objects. The ability to address the sim-to-real problem allows FINV to be used for object categories without real-world datasets. FINV achieves state-of-the-art performance on multiple real-world datasets, recovers object shape and texture from partial and sparse views, is robust to occlusion, and is able to incrementally improve its representation with more observations.",https://openreview.net/forum?id=1EhpvW7GLU
Poster 6,Spotlight 6,103,Physically Plausible Full-Body Hand-Object Interaction Synthesis,"Jona Braun, Sammy Christen, Muhammed Kocabas, Emre Aksan, Otmar Hilliges","We propose a physics-based method for synthesizing hand-object interactions in a full-body setting. While recent advancements have addressed specific facets of human-object interactions, a comprehensive physics-based approach remains a challenge. Existing methods often focus on isolated segments of the interaction process and rely on data-driven techniques that may result in artifacts. In contrast, our proposed method embraces reinforcement learning (RL) and physics simulation to mitigate the limitations of data-driven approaches. Through a hierarchical framework, we first learn skill priors for both body and hand movements in a decoupled setting. The generic skill priors learn to decode a latent skill code into the motion of the underlying part. A high-level policy then controls hand-object interactions in these pretrained latent spaces, guided by task objectives of grasping and following 3D target trajectories. It is trained using a novel reward function that combines an adversarial style term with a task reward, encouraging natural motions while fulfilling the task incentives. Our method successfully accomplishes the complete interaction task, from approaching an object to grasp and subsequent manipulation. We compare our approach against kinematics-based baselines and show that our method leads to more physically plausible motions.",https://openreview.net/forum?id=FYxrOXfGCR
,,,,,,
Poster 1,,200,3D-TexSeg: Unsupervised Segmentation of 3D Texture using Mutual Transformer Learning,"Iyyakutti Iyappan Ganapathi, Sajid Javed, Naoufel Werghi","Analysis of the 3D Texture is indispensable for various tasks, such as retrieval, segmentation, classification, and inspection of sculptures, knitted fabrics, and biological tissues.A 3D texture is a locally repeated surface variation independent of the surface's overall shape and can be determined using the local neighborhood and its characteristics.Existing techniques typically employ computer vision techniques that analyze a 3D mesh globally, derive features, and then utilize the obtained features for retrieval or classification. Several traditional and learning-based methods exist in the literature however, only a few are on 3D texture, and nothing yet, to the best of our knowledge, on the unsupervised schemes. This paper presents an original framework for the unsupervised segmentation of the 3D texture on the mesh manifold. We approach this problem as binary surface segmentation, partitioning the mesh surface into textured and non-textured regions without prior annotation. We devise a mutual transformer-based system comprising a label generator and a cleaner. The two models take geometric image representations of the surface mesh facets and label them as texture or non-texture across an iterative mutual learning scheme. Extensive experiments on three publicly available datasets with diverse texture patterns demonstrate that the proposed framework outperforms standard and SOTA unsupervised techniques and competes reasonably with supervised methods.",https://openreview.net/forum?id=IEa36N1ca1
Poster 1,,54,Revisiting Map Relations for Unsupervised Non-Rigid Shape Matching,"Dongliang Cao, Paul Roetzer, Florian Bernard","We propose a novel unsupervised learning approach for non-rigid 3D shape matching. Our approach improves upon recent state-of-the art deep functional map methods and can be applied to a broad range of different challenging scenarios. Previous deep functional map methods mainly focus on feature extraction and aim exclusively at obtaining more expressive features for functional map computation. However, the importance of the functional map computation itself is often neglected and the relationship between the functional map and point-wise map is underexplored. In this paper, we systematically investigate the coupling relationship between the functional map from the functional map solver and the point-wise map based on feature similarity. To this end, we propose a self-adaptive functional map solver to adjust the functional map regularisation for different shape matching scenarios, together with a vertex-wise contrastive loss to obtain more discriminative features. Using different challenging datasets (including non-isometry, topological noise and partiality), we demonstrate that our method substantially outperforms previous state-of-the-art methods.",https://openreview.net/forum?id=ZxnPCQ0qW6
Poster 1,,64,SUCRe: Leveraging Scene Structure for Underwater Color Restoration,"Clémentin Boittiaux, Ricard Marxer, Claire Dune, Aurelien ARNAUBEC, Maxime Ferrera, Vincent HUGEL","Underwater images are altered by the physical characteristics of the medium through which light rays pass before reaching the optical sensor. Scattering and wavelength-dependent absorption significantly modify the captured colors depending on the distance of observed elements to the image plane. In this paper, we aim to recover an image of the scene as if the water had no effect on light propagation. We introduce SUCRe, a novel method that exploits the scene's 3D structure for underwater color restoration. By following points in multiple images and tracking their intensities at different distances to the sensor, we constrain the optimization of the parameters in an underwater image formation model and retrieve unattenuated pixel intensities. We conduct extensive quantitative and qualitative analyses of our approach in a variety of scenarios ranging from natural light to deep-sea environments using three underwater datasets acquired from real-world scenarios and one synthetic dataset. We also compare the performance of the proposed approach with that of a wide range of existing state-of-the-art methods. The results demonstrate a consistent benefit of exploiting multiple views across a spectrum of objective metrics. Our code will be made publicly available upon publication.",https://openreview.net/forum?id=5Sw0R7YAdA
Poster 1,,180,Quantum-Hybrid Stereo Matching with Nonlinear Regularization and Spatial Pyramids,"Cameron Braunstein, Eddy Ilg, Vladislav Golyanik","Quantum computing will gain significant importance in the future. We show how the state of the art on stereo matching targeted for this technology can be improved. Previous methods do not allow for nonlinear regularizers that constitute NP-hard problems. To this end, they do not exploit the fundamental advantages of the quantum computing paradigm in solving combinatorial optimization objectives. In contrast, our work presents a novel formulation for stereo matching with nonlinear regularizers and spatial pyramids on quantum annealers as a maximum a posteriori inference problem that minimizes the energy of a Markov Random Field. Our approach is hybrid (i.e., quantum-classical) and is compatible with modern D-Wave quantum annealers, i.e., it includes a quadratic unconstrained binary optimization (QUBO) objective. It reveals the full potential of applying quantum annealers in stereo matching and possibly related visual computing problems. On the Middlebury benchmark, our approach achieves an improved root mean squared accuracy between 2 and 22.5 when using different solvers.",https://openreview.net/forum?id=rd9XyZ4QC9
Poster 1,,323,MACS: Mass Conditioned 3D Hand and Object Motion Synthesis,"Soshi Shimada, Franziska Mueller, Jan Bednarik, Bardia Doosti, Bernd Bickel, Danhang Tang, Vladislav Golyanik, Jonathan Taylor, Christian Theobalt, Thabo Beeler","The physical properties of an object, such as its mass, significantly affect how we manipulate it with our hands. However, these aspects have so far been neglected in prior work on motion synthesis. This work proposes MACS–the first MAss Conditioned 3D hand and object motion Synthesis approach. Using cascaded diffusion models, we show how MACS generates interactions that plausibly change based on the object’s mass and interaction type. MACS also accepts a manually drawn 3D object trajectory as input and synthesizes the natural 3D hand motions conditioned by the object’s mass. This flexibility enables MACS to be used for various downstream applications, such as generating synthetic training data for ML tasks, fast animation of hands for graphics workflows, and generating character interactions for computer games. In our experiments, MACS reasonably generalizes across interpolated and extrapolated object masses unseen during the training with our limited dataset. Furthermore, MACS shows moderate generalization to unseen objects, thanks to the mass-conditioned contact labels generated by our surface contact synthesis model ConNet. Our comprehensive user study confirms that the synthesized 3D hand-object interactions are highly plausible and realistic.",https://openreview.net/forum?id=Garp39P9bi
Poster 1,,230,Cloth2Tex: A Customized Cloth Texture Generation Pipeline for 3D Virtual Try-On,"Daiheng Gao, Xu Chen, Xindi Zhang, Qi WANG, Ke Sun, Bang Zhang, Liefeng Bo, Qixing Huang","Fabricating and designing 3D garments has become extremely demanding with theincreasing need for synthesizing realistic dressed persons for a variety of applications, \eg 3D virtual try-on, digitalization of 2D clothes into 3D apparel, and cloth animation. It thus necessitates a simple and straightforward pipeline to obtain high-quality texture from simple input, such as 2D reference images. Since traditional warping-based texture generation methods require a significant number of control points to be manually selected for each type of garment, which can be a time-consuming and tedious process. We propose a novel method, called \textbf{Cloth2Tex}, which eliminates the human burden in this process. Cloth2Tex is a self-supervised method that generates texture maps with reasonable layout and structural consistency. Another key feature of Cloth2Tex is that it can be used to support high-fidelity texture inpainting. This is done by combining Cloth2Tex with a prevailing latent diffusion model. We evaluate our approach both qualitatively and quantitatively and demonstrate that Cloth2Tex can generate high-quality texture maps and achieve the best visual effects in comparison to other methods. For more details and animated results, please watch our supplemental video.",https://openreview.net/forum?id=NaTYJEZxJr
Poster 1,,43,Classical Photometric Stereo in Point Lighting Environments: Error Analysis and Mitigation,"Simon Brenner, Robert Sablatnig","While classical photometric stereo assumes parallel lighting and thus allows for efficient solutions, this assumption is rarely met in practice. In acquisition setups using point-like light sources such as LEDs, direction and intensity of incident light depend on the unknown surface position, which leads to a non-linear problem. Although numerous approaches explicitly accounting for non-parallel lighting are proposed, photometric stereo with the parallel lighting model is widely used in point lighting scenarios. This is done for reasons of  computational efficiency and ease of system calibration, and justified with the observation that lighting becomes approximately parallel when light sources are placed in a sufficient distance from the object.However, as no account of the relation between light source distance and reconstruction errors is found in literature, it is not clear which light source distance would be 'sufficient' for a given application.  In this work, we propose an upper bound for mean errors resulting from using parallel-lighting models in point light setups, depending on the distance of light sources and the size of the object imaged. This bound is based on analytical considerations and previous results of photometric stereo error analysis, and validated vie a Monte Carlo simulation. These results are then used to justify an error mitigation strategy via local solutions that is applicable in use cases where an approximate depth is known a priori.The theoretical propositions are demonstrated on real-world data.",https://openreview.net/forum?id=9VCrlkxKz3
Poster 1,,145,Physics-based Indirect Illumination for Inverse Rendering,"Youming Deng, Xueting Li, Sifei Liu, Ming-Hsuan Yang","We present a physics-based inverse rendering method that learns the illumination, geometry, and materials of a scene from posed multi-view RGB images. To model the illumination of a scene, existing inverse rendering works either completely ignore the indirect illumination or model it by coarse approximations, leading to sub-optimal illumination, geometry, and material prediction of the scene. In this work, we propose a physics-based illumination model that first locates surface points through an efficient refined sphere tracing algorithm, then explicitly traces the incoming indirect lights at each surface point based on reflection. Then, we estimate each identified indirect light through an efficient neural network. Moreover, we utilize the Leibniz's integral rule to resolve non-differentiability in the proposed illumination model caused by boundary lights inspired by differentiable irradiance in computer graphics. As a result, the proposed differentiable illumination model can be learned end-to-end together with geometry and materials estimation. As a side product, our physics-based inverse rendering model also facilitates flexible and realistic material editing as well as relighting. Extensive experiments on synthetic and real-world datasets demonstrate that the proposed method performs favorably against existing inverse rendering methods on novel view synthesis and inverse rendering. The source code and trained models will be released to the public.",https://openreview.net/forum?id=WPR0seg46C
Poster 1,,162,Test-Time Augmentation for 3D Point Cloud Classification and Segmentation,"Tuan-Anh Vu, Srinjay Sarkar, Zhiyuan Zhang, Binh-Son Hua, Sai-Kit Yeung","Data augmentation is a powerful technique to enhance the performance of a deep learning task but has received less attention in 3D deep learning. It is well known that when 3D shapes are sparsely represented with low point density, the performance of the downstream tasks drops significantly. In this work, we explore test-time augmentation (TTA) for 3D point clouds. We are inspired by the recent revolution of learning implicit representation and point cloud upsampling, which can produce high-quality 3D surface reconstruction and proximity-to-surface, respectively. Our idea is to leverage the implicit field reconstruction or point cloud upsampling techniques as a systematic way to augment point cloud data. Particularly, we test both strategies by sampling points from the reconstructed results and using the sampled point cloud as test-time augmented data. We show that both strategies are effective in improving accuracy. We observed that point cloud upsampling for test-time augmentation can lead to more significant performance improvement on downstream tasks such as object classification and segmentation on the ModelNet40, ShapeNet, ScanObjectNN, and SemanticKITTI datasets, especially for sparse point clouds.",https://openreview.net/forum?id=i3C23LEi2f
Poster 1,,206,Lang3DSG: Language-based contrastive pre-training for 3D scene graph prediction,"Sebastian Koch, Pedro Hermosilla, Narunas Vaskevicius, Mirco Colosi, Timo Ropinski","3D scene graphs are an emerging 3D scene representation, that models both the objects present in the scene as well as their relationships. However, learning 3D scene graphs is a challenging task because it requires not only object labels but also relationship annotations, which are very scarce in datasets.While it is widely accepted that pre-training is an effective approach to improve model performance in low data regimes, in this paper, we find that existing pre-training methods are ill-suited for 3D scene graphs. To solve this issue, we present the first language-based pre-training approach for 3D scene graphs, whereby we exploit the strong relationship between scene graphs and language. To this end, we leverage the language encoder of CLIP, a popular vision-language model, to distill its knowledge into our graph-based network. We formulate a contrastive pre-training, which aligns text embeddings of relationships (subject-predicate-object triplets) and predicted 3D graph features. Our method achieves state-of-the-art results on the main semantic 3D scene graph benchmark by showing improved effectiveness over pre-training baselines and outperforming all the existing fully supervised scene graph prediction methods by a significant margin.Furthermore, since our scene graph features are language-aligned, it allows us to query the language space of the features in a zero-shot manner. In this paper, we show an example of utilizing this property of the features to predict the room type of a scene without further training.",https://openreview.net/forum?id=ijcP5spmjW
Poster 1,,56,InstantAvatar: Efficient 3D Head Reconstruction via Surface Rendering,"Antonio Canela, Pol Caselles, Ibrar Malik, Gil Triginer Garces, Eduard Ramon, Jaime Garcia, Jordi Sanchez-Riera, Francesc Moreno-Noguer","Recent advances in full-head reconstruction have been obtained by optimizing a neural field through differentiable surface or volume rendering to represent a single scene. While these techniques achieve an unprecedented accuracy, they take several minutes, or even hours, due to the expensive optimization process required. In this work, we introduce InstantAvatar, a method that recovers full-head avatars from few images (down to just one) in a few seconds on commodity hardware. In order to speed up the reconstruction process, we propose a system that combines, for the first time, a voxel-grid neural field representation with a surface renderer. Notably, a naive combination of these two techniques leads to unstable optimizations that do not converge to valid solutions. In order to overcome this limitation, we present a novel statistical model that learns a prior distribution over 3D head signed distance functions using a voxel-grid based architecture. The use of this prior model, in combination with other design choices (e.g. normals regularization), results into a system that achieves 3D head reconstructions with comparable accuracy as the state-of-the-art with a 100× speed-up.",https://openreview.net/forum?id=OBAaH5Rqb2
Poster 1,,310,Diffusion Shape Prior for Wrinkle-Accurate Cloth Registration,"Jingfan Guo, Fabian Prada, Donglai Xiang, Javier Romero, Chenglei Wu, Hyun Soo Park, Takaaki Shiratori, Shunsuke Saito","Registering clothes from 4D scans with vertex-accurate correspondence is challenging, yet important for dynamic appearance modeling and physics parameter estimation from real-world data. However, previous methods either rely on texture information, which is not always reliable, or achieve only coarse-level alignment. In this work, we present a novel approach to enabling accurate surface registration of texture-less clothes with large deformation. Our key idea is to effectively leverage a shape prior learned from pre-captured clothing using diffusion models. We also propose a multi-stage guidance scheme based on learned functional maps, which stabilizes registration for large-scale deformation even when they vary significantly from training data. Using high-fidelity real captured clothes, our experiments show that the proposed approach based on diffusion models generalizes better than surface registration with VAE or PCA-based priors, outperforming both optimization-based and learning-based non-rigid registration methods for both interpolation and extrapolation tests.",https://openreview.net/forum?id=uETr3JrCD5
Poster 1,,87,Controllable Dynamic Appearance for Neural 3D Portraits,"ShahRukh Athar, Zhixin Shu, Zexiang Xu, Fujun Luan, Sai Bi, Kalyan Sunkavalli, Dimitris Samaras","Recent advances in Neural Radiance Fields (NeRFs) have made it possible to reconstruct and reanimate dynamic portrait scenes with control over head-pose, facial expressions and viewing direction. However, training such models assumes photometric consistency over the deformed region e.g. the face must be evenly lit as it deforms with changing head-pose and facial expression. Such photometric consistency across frames of a video is hard to maintain, even in studio environments, thus making the created reanimatable neural portraits prone to artefacts during reanimation. In this work, we propose CoDyNeRF, a system that enables the creation of fully controllable 3D portraits in real-world capture conditions. CoDyNeRF learns to approximate illumination dependent effects via a dynamic appearance model in the canonical space that is conditioned on predicted surface normals and the facial expressions and head-pose deformations. The surface normals prediction is guided using 3DMM normals that act as a coarse prior for the normals of the human head, where direct prediction of normals is hard due to rigid and non-rigid deformations induced by head-pose and facial expression changes. Using only a smartphone-captured short video of a subject for training, we demonstrate the effectiveness of our method on free view synthesis of a portrait scene with explicit head pose and expression controls, and realistic lighting effects.",https://openreview.net/forum?id=47pk9EN8AU
Poster 1,,78,TextMesh: Generation of Realistic 3D Meshes From Text Prompts,"Christina Tsalicoglou, Fabian Manhardt, Alessio Tonioni, Michael Niemeyer, Federico Tombari","Being able to generate highly realistic 2D images from mere text prompts has recently made huge progress in terms of speed and quality, thanks to the advent of image diffusion models. Naturally, the question arises if this can be also achieved in the generation of 3D content from such text prompts. To this end, a new line of methods recently emerged trying to harness diffusion models, trained on 2D images, for supervision of 3D model generation using view dependant prompts. While achieving impressive results, these methods, however, have two major drawbacks. First, rather than commonly used 3D meshes, they instead generate neural radiance fields (NeRFs), making them impractical for real applications. Second, these approaches tend to produce very over-saturated models, giving the output a cartoonish looking effect. Therefore, in this work we propose a novel method for generation of highly realistic 3D meshes. To this end, we extend NeRF to employ an SDF backbone, leading to much improved 3D mesh extraction. In addition, we propose a novel way to finetune the mesh texture, removing the effect of high saturation and improving the details of the output 3D mesh.",https://openreview.net/forum?id=SciaO8QwJp
Poster 1,,353,Neural Field Regularization by Denoising for 3D Sparse-View X-ray Computed Tomography,"Romain Vo, Julie Escoda, Caroline Vienne, Etienne Decencière","In this paper we present a method which allows conditioning of Neural Fields using Regularization by Denoising (RED). As opposed to learning a joint convolutional neural network to condition the output of a neural field, the RED framework is memory-efficient and allows to entirely decouple the conditionning network optimization and the neural field optimization. We focus our work on applications for 3D sparse-view X-ray Computed Tomography (CT) and propose a flexible procedure which does not assume coordinate-friendly partitioning of the forward operator. Indeed our method is applicable to any CT geometry, in particular to Cone-Beam CT which is the most common setup in industrial inspection. We quantitatively evaluate our approach and show that our method is either better or on par with the state of the art in terms of reconstruction quality while being the most memory-efficient.",https://openreview.net/forum?id=2QM3W8TZpl
Poster 1,,202,DeepDR: Deep Structure-Aware RGB-D Inpainting for Diminished Reality,"Christina Schwarz-Gsaxner, Shohei Mori, Dieter Schmalstieg, Jan Egger, Gerhard Paar, Werner Bailer, Denis Kalkofen","Diminished reality (DR) refers to the removal of real objects from the environment by virtually replacing them with their background. Modern DR frameworks use inpainting to hallucinate unobserved regions. While recent deep learning-based inpainting is promising, the DR use case is complicated by the need to generate coherent structure and 3D geometry (i.e., depth), in particular for advanced applications, such as 3D scene editing. In this paper, we propose DeepDR, a first RGB-D inpainting framework fulfilling all requirements of DR: Plausible image and geometry inpainting with coherent structure, running at real-time frame rates, with minimal temporal artifacts. Our structure-aware generative network allows us to explicitly condition color and depth outputs on the scene semantics, overcoming the difficulty of reconstructing sharp and consistent boundaries in regions with complex backgrounds. Experimental results show that the proposed framework can outperform related work qualitatively and quantitatively.",https://openreview.net/forum?id=0LMRkLo0yI
Poster 1,,68,Interaction Replica: Tracking human–object interaction and scene changes from human motion,"Vladimir Guzov, Julian Chibane, Riccardo Marin, Yannan He, Yunus Nail Saracoglu, Torsten Sattler, Gerard Pons-Moll","Our world is not static and humans naturally cause changes in their environments through interactions, e.g., opening doors or moving furniture. Modeling changes caused by humans is essential for building digital twins, e.g., in the context of shared physical-virtual spaces (metaverses) and robotics. In order for widespread adoption of such emerging applications, the sensor setup used to capture the interactions needs to be inexpensive and easy-to-use for non-expert users. I.e., interactions should be captured and modeled by simple ego-centric sensors such as a combination of cameras and IMU sensors. Yet, to the best of our knowledge, no work tackling the challenging problem of modeling human-object interactions via such an ego-centric sensor setup exists. This paper closes this gap in the literature by developing a novel approach that combines visual localization of humans in the scene with contact-based reasoning about human-object interactions from IMU data. Interestingly, we are able to show that even without visual observations of the interactions, human-object contacts and interactions can be realistically predicted from human motion. Our method, iReplica (Interaction Replica), is an essential first step towards the egocentric capture of human interactions and modeling of dynamic scenes, which is required for future AR/VR applications in immersive virtual universes and for training machines to behave like humans. To encourage the community to work on this challenging and important problem, we will make our new datasets and our code available.",https://openreview.net/forum?id=woYMlqqJ8h
Poster 1,,259,CombiNeRF: a Combination of Regularization Techniques for Few-Shot Neural Radiance Field View Synthesis,"Matteo Bonotto, Luigi Sarrocco, Daniele Evangelista, Marco Imperoli, Alberto Pretto","Neural Radiance Fields (NeRF) have shown impressive results for novel view synthesis when a sufficiently large amount of views are available. When dealing with few-shot settings, i.e. with a small set of input views, the training could overfit those views, leading to artifacts and geometric and chromatic inconsistencies in the resulting rendering. Regularization is a valid solution that helps NeRF generalization. On the other hand, most of the recent NeRF regularization techniques aim each one to mitigate a specific rendering problem. Starting from this observation, in this paper we propose CombiNeRF, a framework that synergically combines several regularization techniques, some of them novel, in order to unify the benefits of each. In particular, we regularize single and neighboring rays distribution and we add a smoothness term to regularize near geometries. After these geometric approaches, we propose to exploit Lipshitz regularization on both NeRF density and color networks and to use encoding masks for input features regularization. We show that CombiNeRF outperforms the state-of-the-art methods with few-shot settings in several publicly available datasets. We also present an ablation study on the LLFF and Nerf-Synthetic datasets that supports the choices made. We release with this paper the open-source implementation of our framework.",https://openreview.net/forum?id=yfQzRlz4hG
Poster 2,,277,NeVRF: Neural Video-based Radiance Fields for Long-duration Sequences,"Minye Wu, Tinne Tuytelaars","Neural Radiance Fields (NeRF) have made remarkable strides in novel view synthesis. However, adopting NeRF to long-duration dynamic sequences has been challenging.Existing methods struggle to balance between quality and storage size and encounter difficulties with complex scene changes such as topological changes and large motions.  To tackle these issues, we propose a novel neural video-based radiance fields (NeVRF) representation.  NeVRF marries neural radiance field with image-based rendering and continual learning techniques to support photo-realistic novel view synthesis on long-duration dynamic scenes.  We introduce a novel multi-view radiance blending approach to predict radiance directly from multi-view videos. By incorporating continual learning techniques, NeVRF can efficiently reconstruct frames from sequential data without revisiting previous frames, enabling long-duration free-viewpoint video.  Furthermore, with a tailored compression approach, NeVRF can compactly represent dynamic scenes, making dynamic radiance fields more practical in real-world scenarios.  Our extensive experiments demonstrate the effectiveness of NeVRF in enabling long-duration sequence rendering, sequential data reconstruction, and compact data storage.",https://openreview.net/forum?id=uYrb7kpm8L
Poster 2,,77,Fast High Dynamic Range Radiance Fields for Dynamic Scenes,"guanjun Wu, Taoran Yi, Jiemin Fang, Xinggang Wang, Wenyu Liu","Neural Radiances Fields (NeRF) and its extensions have shown great success to represent 3D scenes and synthesis novel-view images. However, most NeRF methods take in low-dynamic-range (LDR) images, which may lose details especially with nonuniform illumination. Some previous NeRF methods attempt to introduce high-dynamic-range (HDR) techniques but mainly target at static scenes. To extend HDR NeRF methods to wider applications, we propose a dynamic HDR NeRF framework, named as HDR-HexPlane, which can learn 3D scenes from dynamic 2D images captured with various exposures. A learnable exposure mapping function is constructed to obtain adaptive exposure values for each image. Based on the monotonically-increasing prior, a camera response function is designed for stable learning. With the proposed model, high-quality novel-view images at any time point can be rendered with any desired exposure. We further construct a dataset containing multiple dynamic scenes captured with diverse exposures for evaluation. All the datasets and code will be released.",https://openreview.net/forum?id=gpUQbYUQJO
Poster 2,,148,Improved Scene Landmark Detection for Camera Localization,"Tien Do, Sudipta N. Sinha","Camera localization methods based on retrieval, local feature matching, and 3D structure-based pose estimation are accurate but require high storage, are slow, and are not privacy-preserving. A method based on scene landmark detection (SLD) was recently proposed to address these limitations. It involves training a convolutional neural network (CNN) to detect a few predetermined, salient, scene-specific 3D points or landmarks and computing camera pose from the associated 2D--3D correspondences. Although SLD outperformed existing learning-based approaches, it was notably less accurate than 3D structure-based methods. In this paper, we show that the accuracy gap was due to insufficient model capacity and noisy labels during training. To mitigate the capacity issue, we propose to split the landmarks into subgroups and train a separate network for each subgroup. To generate better training labels, we propose using dense reconstructions to estimate visibility of scene landmarks. Finally, we present a compact architecture to improve memory efficiency. Accuracy wise, our approach is on par with state of the art structure-based methods on the Indoor-6 dataset but runs significantly faster and uses less storage. We will release code and the trained models.",https://openreview.net/forum?id=hlm9mkxYMV
